velocidad_bala,distancia,bala_y,accion
-6.0,460.0,77.0,0
-6.0,454.0,77.0,0
-6.0,448.0,77.0,0
-6.0,442.0,77.0,0
-6.0,436.0,77.0,0
-6.0,430.0,77.0,0
-6.0,424.0,77.0,0
-6.0,418.0,77.0,0
-6.0,412.0,77.0,0
-6.0,406.0,77.0,0
-6.0,400.0,77.0,0
-6.0,394.0,77.0,0
-6.0,388.0,77.0,0
-6.0,382.0,77.0,0
-6.0,376.0,77.0,0
-6.0,370.0,77.0,0
-6.0,364.0,77.0,0
-6.0,358.0,77.0,0
-6.0,352.0,77.0,0
-6.0,346.0,77.0,0
-6.0,340.0,77.0,0
-6.0,334.0,77.0,0
-6.0,328.0,77.0,0
-6.0,322.0,77.0,0
-6.0,316.0,77.0,0
-6.0,310.0,77.0,0
-6.0,304.0,77.0,0
-6.0,298.0,77.0,0
-6.0,292.0,77.0,0
-6.0,286.0,77.0,0
-6.0,280.0,77.0,0
-6.0,274.0,77.0,0
-6.0,268.0,77.0,0
-6.0,262.0,77.0,0
-6.0,256.0,77.0,0
-6.0,250.0,77.0,0
-6.0,244.0,77.0,0
-6.0,238.0,77.0,0
-6.0,232.0,77.0,0
-6.0,226.0,77.0,0
-6.0,220.0,77.0,0
-6.0,214.0,77.0,0
-6.0,208.0,77.0,0
-6.0,202.0,77.0,0
-6.0,196.0,77.0,0
-6.0,190.0,77.0,0
-6.0,184.0,77.0,0
-6.0,178.0,77.0,0
-6.0,172.0,77.0,0
-6.0,166.0,77.0,0
-6.0,160.0,77.0,0
-6.0,154.0,77.0,0
-6.0,148.0,77.0,0
-6.0,142.0,77.0,0
-6.0,136.0,77.0,0
-6.0,130.0,77.0,0
-6.0,124.0,77.0,0
-6.0,118.0,77.0,0
-6.0,112.0,77.0,0
-6.0,106.0,77.0,0
-6.0,100.0,77.0,0
-6.0,94.0,77.0,0
-6.0,88.0,77.0,0
-6.0,82.0,77.0,0
-6.0,76.0,77.0,0
-6.0,70.0,77.0,0
-6.0,64.0,77.0,0
-6.0,58.0,77.0,0
-6.0,52.0,77.0,0
-6.0,46.0,77.0,0
-6.0,40.0,77.0,0
-6.0,34.0,77.0,0
-6.0,28.0,77.0,0
-6.0,22.0,77.0,0
-6.0,16.0,77.0,0
-6.0,10.0,77.0,0
-6.0,4.0,77.0,0
-6.0,2.0,77.0,0
-6.0,8.0,77.0,0
-6.0,14.0,77.0,0
-6.0,20.0,77.0,0
-6.0,26.0,77.0,0
-6.0,32.0,77.0,0
-6.0,38.0,77.0,0
-6.0,44.0,77.0,0
-6.0,50.0,77.0,0
-6.0,56.0,77.0,0
-6.0,62.0,77.0,0
-6.0,68.0,77.0,0
-8.0,962.0,-9.0,0
-8.0,954.0,-9.0,0
-8.0,946.0,-9.0,0
-8.0,938.0,-9.0,0
-8.0,930.0,-9.0,0
-8.0,922.0,-9.0,0
-8.0,914.0,-9.0,0
-8.0,906.0,-9.0,0
-8.0,898.0,-9.0,0
-8.0,890.0,-9.0,0
-8.0,882.0,-9.0,0
-8.0,874.0,-9.0,0
-8.0,866.0,-9.0,0
-8.0,858.0,-9.0,0
-8.0,850.0,-9.0,0
-8.0,842.0,-9.0,0
-8.0,834.0,-9.0,0
-8.0,826.0,-9.0,0
-8.0,818.0,-9.0,0
-8.0,810.0,-9.0,0
-8.0,802.0,-9.0,0
-8.0,794.0,-9.0,0
-8.0,786.0,-9.0,0
-8.0,778.0,-9.0,0
-8.0,770.0,-9.0,0
-8.0,762.0,-9.0,0
-8.0,754.0,-9.0,0
-8.0,746.0,-9.0,0
-8.0,738.0,-9.0,0
-8.0,730.0,-9.0,0
-8.0,722.0,-9.0,0
-8.0,714.0,-9.0,0
-8.0,706.0,-9.0,0
-8.0,698.0,-9.0,0
-8.0,690.0,-9.0,0
-8.0,682.0,-9.0,0
-8.0,674.0,-9.0,0
-8.0,666.0,-9.0,0
-8.0,658.0,-9.0,0
-8.0,650.0,-9.0,0
-8.0,642.0,-9.0,0
-8.0,634.0,-9.0,0
-8.0,626.0,-9.0,0
-8.0,618.0,-9.0,0
-8.0,610.0,-9.0,0
-8.0,602.0,-9.0,0
-8.0,594.0,-9.0,0
-8.0,586.0,-9.0,0
-8.0,578.0,-9.0,0
-8.0,570.0,-9.0,0
-8.0,562.0,-9.0,0
-8.0,554.0,-9.0,0
-8.0,546.0,-9.0,0
-8.0,538.0,-9.0,0
-8.0,530.0,-9.0,0
-8.0,522.0,-9.0,0
-8.0,514.0,-9.0,0
-8.0,506.0,-9.0,0
-8.0,498.0,-9.0,0
-8.0,490.0,-9.0,0
-8.0,482.0,-9.0,0
-8.0,474.0,-9.0,0
-8.0,466.0,-9.0,0
-8.0,458.0,-9.0,0
-8.0,450.0,-9.0,0
-8.0,442.0,-9.0,0
-8.0,434.0,-9.0,0
-8.0,426.0,-9.0,0
-8.0,418.0,-9.0,0
-8.0,410.0,-9.0,0
-8.0,402.0,-9.0,0
-8.0,394.0,-9.0,0
-8.0,386.0,-9.0,0
-8.0,378.0,-9.0,0
-8.0,370.0,-9.0,0
-8.0,362.0,-9.0,0
-8.0,354.0,-9.0,0
-8.0,346.0,-9.0,0
-8.0,338.0,-9.0,0
-8.0,330.0,-9.0,0
-8.0,322.0,-9.0,0
-8.0,314.0,-9.0,0
-8.0,306.0,-9.0,0
-8.0,298.0,-9.0,0
-8.0,290.0,-9.0,0
-8.0,282.0,-9.0,0
-8.0,274.0,-9.0,0
-8.0,266.0,-9.0,0
-8.0,258.0,-9.0,0
-8.0,250.0,-9.0,0
-8.0,242.0,-9.0,0
-8.0,234.0,-9.0,0
-8.0,226.0,-9.0,0
-8.0,218.0,-9.0,0
